experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
removal_10_0,MinMax_removal_on_survivors,spatial_1000m,6000,177,17,20,715,-249.4299924096954,0.6496568999672053,-291.9755594550633,87.76219146920423,0.5950105178648232,1.125453457755015
removal_10_0,MinMax_minus_FP_on_survivors,spatial_1000m,6000,177,17,20,715,132.93521941586533,1.403330233936098,-42.43732555076025,261.90497328155936,0.9218040769365609,1.7683999916628013
removal_10_1,FP_removal_on_survivors,paired_messages,6000,213,213,213,213,-1.802914357423795,0.953863898998361,-19.041028164313282,79.57629015385562,0.6461079892823854,2.654574719285293
removal_10_1,MinMax_removal_on_survivors,paired_messages,6000,213,213,213,213,248.6758482160867,1.373742340959311,45.383165280849084,379.53836857073304,1.0666118854222786,1.5869247911287103
removal_10_1,MinMax_minus_FP_on_survivors,paired_messages,6000,213,213,213,213,876.7676684770242,24.521440003293005,618.8778237978287,1009.5567518019251,6.367351673778874,49.36835547953014
removal_10_1,FP_removal_on_survivors,spatial_1000m,6000,213,24,45,622,-1.802914357423795,0.953863898998361,-11.390853991256144,489.16248405665436,0.7938624817851018,2.4094994845542685
removal_10_1,MinMax_removal_on_survivors,spatial_1000m,6000,213,24,45,622,248.6758482160867,1.373742340959311,-36.87992877963266,435.860063436103,0.8980974902139095,1.7156189831489228
removal_10_1,MinMax_minus_FP_on_survivors,spatial_1000m,6000,213,24,45,622,876.7676684770242,24.521440003293005,88.940420467134,1025.4277389498607,1.107006658923809,95.24794736069373
removal_10_2,FP_removal_on_survivors,paired_messages,6000,301,301,301,301,222.41798352252596,1.7166607958372933,147.28795870811928,317.3892556718674,1.4489291887042786,2.0907242156237156
removal_10_2,MinMax_removal_on_survivors,paired_messages,6000,301,301,301,301,582.4421233532797,1.7369465062546472,483.8761409749919,700.478297287207,1.6006242042574663,1.956915757199881
removal_10_2,MinMax_minus_FP_on_survivors,paired_messages,6000,301,301,301,301,840.0161085019937,2.5766920351503932,700.4620888785959,963.113750871712,2.1552608303568994,3.0492452673277843
