experiment,contrast,numerator_arm,denominator_arm,scheme,n_messages,replicates,n_units,draw_size_min,draw_size_max,numerator_median_m,denominator_median_m,point_difference_m,point_ratio,difference_low_m,difference_high_m,ratio_low,ratio_high,numerator_worse_fraction,exact_ties,nonpositive_difference_draws
no71,official_vs_raw:HYBRID_mean,official:HYBRID_mean,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,575.0609749615489,479.4601660745637,95.60080888698525,1.1993925995347814,-121.08250901331373,323.88508228925537,0.8018413967413959,1.7721836966482813,0.49217809867629364,0,1126
no71,official_vs_raw:NLLS,official:NLLS,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,518.6011836162054,479.4601660745637,39.1410175416417,1.0816355983482362,-193.07976982850957,247.33434309136538,0.7311825921922502,1.6131368956257177,0.48896911351785,0,2108
no71,official_vs_raw:Trilat,official:Trilat,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,584.2565901583599,479.4601660745637,104.79642408379624,1.218571701048255,-43.664749915022114,326.7872929609221,0.920811076006897,1.6618005531651319,0.5972723626153229,0,470
no71,official_vs_raw:MinMax,official:MinMax,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,465.808146845612,479.4601660745637,-13.652019228951701,0.9715262701785562,-155.00910132499334,53.29269486035124,0.8000492777304863,1.1492442255683515,0.37625350982751704,0,3985
no71,official_vs_raw:FP_k3,coordinate_independent:FP_k3,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,219.29225647763056,479.4601660745637,-260.1679095969331,0.45737325432688214,-470.52982972149334,-150.40360006937686,0.1651658608407102,0.6058858675374108,0.18772563176895307,0,6000
no71,assignment:WCL_raw,rssfit_stable:WCL_raw,official:WCL_raw,UTC_calendar_day,2493,6000,52,1280,3693,3623.7337930322697,479.4601660745637,3144.273626957706,7.557945475847354,3013.2764075751193,3250.4535151058335,6.9884059181682545,8.52669314104745,0.9899719213798637,0,0
no71,assignment:WCL_bc,rssfit_stable:WCL_bc,official:WCL_bc,UTC_calendar_day,2493,6000,52,1280,3693,3112.7412287798347,582.1997800181365,2530.541448761698,5.346517356435394,2208.1844980267074,2693.288958388029,4.882251626542783,5.828381963679215,0.9787404733253109,0,0
no71,assignment:ABS_mean,rssfit_stable:ABS_mean,official:ABS_mean,UTC_calendar_day,2493,6000,52,1280,3693,1244.7414770108212,527.690987738094,717.0504892727272,2.358845434041441,664.2920060965621,806.3818918515007,2.2339752886195288,2.6058793178592756,0.8110709987966306,0,0
no71,assignment:DIFF_median,rssfit_stable:DIFF_median,official:DIFF_median,UTC_calendar_day,2493,6000,52,1280,3693,1611.4167897843547,1003.4028574107342,608.0139323736205,1.605951964241552,518.8557070297885,696.6035496460944,1.4743764758315392,1.739108638769091,0.7059767348576013,0,0
no71,assignment:HYBRID_mean,rssfit_stable:HYBRID_mean,official:HYBRID_mean,UTC_calendar_day,2493,6000,52,1280,3693,1225.798663132137,575.0609749615489,650.7376881705882,2.1315977200749874,597.536861377766,711.4583059776857,1.9811334549268527,2.342702618119892,0.779783393501805,0,0
no71,assignment:NLLS,rssfit_stable:NLLS,official:NLLS,UTC_calendar_day,2493,6000,52,1280,3693,1201.8578931852549,518.6011836162054,683.2567095690495,2.3174993254058953,609.3462884357716,755.0855128930594,2.175854972472175,2.499706866065954,0.8038507821901324,0,0
no71,assignment:Trilat,rssfit_stable:Trilat,official:Trilat,UTC_calendar_day,2493,6000,52,1280,3693,1708.859917853748,584.2565901583599,1124.603327695388,2.9248449168379422,990.9397123742149,1242.267879484838,2.713091875692824,3.152507744062005,0.7785800240673887,0,0
no71,assignment:MinMax,rssfit_stable:MinMax,official:MinMax,UTC_calendar_day,2493,6000,52,1280,3693,2111.3614804502936,465.808146845612,1645.5533336046815,4.532684743167632,1385.7288772379904,1917.9509357496488,4.106000206113419,4.928654531936931,0.9221821099077416,0,0
no71,official_vs_raw:WCL_bc,official:WCL_bc,official:WCL_raw,UTC_calendar_day,2493,6000,52,1280,3693,582.1997800181365,479.4601660745637,102.7396139435728,1.2142818553305952,68.75551542857335,142.86712892887422,1.154357049349913,1.2914004029172181,0.4817488969113518,0,0
